voxel_mm,grid_type,num_envs,particles_total,particles_per_env,max_active_cells,status,step_ms,env_steps_per_s,steps_per_s_per_env,startup_s,peak_mem_mib,baseline_mem_mib,peak_mem_delta_gib,cuda_graph_active,timed_steps,warmup_steps,wall_s,error
20.0,fixed,1,2261,2261,400000,ok,16.18,61.8,61.81,6.9,1871,1022,0.83,True,120,20,12.1,
20.0,fixed,8,18088,2261,400000,ok,42.59,187.8,23.48,7.5,3535,1022,2.45,True,120,20,16.0,
20.0,fixed,32,72352,2261,400000,ok,122.39,261.5,8.17,9.4,7605,1022,6.43,True,120,20,27.8,
20.0,fixed,128,289408,2261,400000,ok,213.88,598.5,4.68,14.6,10587,1022,9.34,True,120,20,44.0,
20.0,fixed,398,899878,2261,400000,ok,373.44,1065.8,2.68,41.9,15655,1022,14.29,True,120,20,90.7,
15.0,fixed,1,5817,5817,400000,ok,17.25,58.0,57.96,7.1,1935,1022,0.89,True,120,20,12.6,
15.0,fixed,8,46536,5817,400000,ok,55.11,145.2,18.15,8.1,4499,1022,3.4,True,120,20,18.2,
15.0,fixed,32,186144,5817,400000,ok,139.14,230.0,7.19,10.9,9129,1022,7.92,True,120,20,31.0,
15.0,fixed,128,744576,5817,400000,ok,191.83,667.2,5.21,17.6,12737,1022,11.44,True,120,20,44.2,
15.0,fixed,398,2315166,5817,810308,ok,532.15,747.9,1.88,53.5,29333,1022,27.65,True,120,20,121.9,
10.0,fixed,1,21237,21237,400000,ok,18.79,53.2,53.23,7.9,2097,1022,1.05,True,120,20,13.6,
10.0,fixed,8,169896,21237,400000,ok,108.35,73.8,9.23,10.4,7687,1022,6.51,True,120,20,26.8,
10.0,fixed,32,679584,21237,400000,ok,157.67,203.0,6.34,14.3,11996,1022,10.72,True,120,20,37.2,
10.0,fixed,128,2718336,21237,951417,ok,452.5,282.9,2.21,33.9,29307,1022,27.62,True,120,20,92.6,
10.0,fixed,398,8452326,21237,2958314,crashed,,,,,31829,1022,30.08,,120,20,81.6,"[ERROR] Command failed with code 1: ""/home/maximiliank/Work/IsaacLab-coupling/env_isaaclab/bin/python /home/maximiliank/Work/IsaacLab-coupling/_scratch/bench_voxel_grid_child.py --headless --voxel 0.01 --grid-type fixed --num-envs 398 --steps 120 --warmup 20 --max-active-cells 2958314 --cuda-graph 1"
