solver,num_envs,status,step_ms,env_steps_per_s,steps_per_s_per_env,startup_s,peak_mem_mib,baseline_mem_mib,run_mem_gib,cuda_graph_active,timed_steps,warmup_steps,wall_s,error
proxy,1,ok,37.85,26.4,26.42,5.5,10825,10825,0.0,True,80,40,15.5,
proxy,2,ok,38.69,51.7,25.85,5.5,1981,1022,0.94,True,80,40,15.5,
proxy,4,ok,39.86,100.4,25.09,5.6,2015,1022,0.97,True,80,40,15.7,
proxy,8,ok,42.24,189.4,23.68,6.0,2632,1022,1.57,True,80,40,16.7,
proxy,16,ok,44.18,362.2,22.64,6.6,11474,8953,2.46,True,80,40,17.6,
proxy,32,ok,48.54,659.2,20.6,7.8,2111,1022,1.06,True,80,40,19.3,
proxy,64,ok,55.9,1144.8,17.89,10.7,2239,1022,1.19,True,80,40,23.4,
proxy,128,ok,64.14,1995.8,15.59,17.2,2495,1022,1.44,True,80,40,31.4,
proxy,256,ok,193.88,1320.4,5.16,32.0,12808,1022,11.51,True,80,40,63.2,
proxy,512,ok,87.23,5869.8,11.46,63.4,11504,10855,0.63,True,80,40,84.7,
proxy,1024,ok,115.31,8880.5,8.67,151.2,15818,1022,14.45,True,80,40,187.9,
proxy,2048,ok,185.64,11032.0,5.39,402.1,19824,1022,18.36,True,80,40,480.1,
proxy,4096,timeout,,,,,17867,10837,6.87,,80,40,1200.0,[waterhose SM] step 1: phase = REST
proxy,8192,timeout,,,,,18546,17867,0.66,,80,40,1200.0,"Warning: CollisionAPI applied to an unknown UsdGeomGPrim type, prim /World/envs/env_0/Cable1/curve_0. [python3.12]"
admm,1,ok,70.72,14.1,14.14,6.2,2552,1553,0.98,True,80,40,20.0,
admm,2,ok,70.84,28.2,14.12,6.3,2556,1553,0.98,True,80,40,20.3,
admm,4,ok,70.93,56.4,14.1,6.5,2562,1553,0.99,True,80,40,20.4,
admm,8,ok,74.13,107.9,13.49,6.8,2594,1553,1.02,True,80,40,21.2,
admm,16,ok,76.84,208.2,13.01,7.6,2626,1553,1.05,True,80,40,22.4,
admm,32,ok,81.28,393.7,12.3,9.0,2690,1553,1.11,True,80,40,24.5,
admm,64,ok,82.58,775.0,12.11,12.2,2818,1553,1.24,True,80,40,28.2,
admm,128,ok,85.89,1490.3,11.64,19.6,3106,1553,1.52,True,80,40,36.6,
admm,256,ok,91.92,2785.1,10.88,35.6,3650,1553,2.05,True,80,40,54.6,
admm,512,ok,100.26,5106.9,9.97,70.6,4792,1553,3.16,True,80,40,94.0,
admm,1024,ok,109.61,9342.6,9.12,167.4,6970,1553,5.29,True,80,40,201.4,
admm,2048,ok,156.9,13053.1,6.37,456.6,27332,1553,25.17,True,80,40,532.8,
admm,4096,timeout,,,,,26760,17497,9.05,,80,40,1200.0,"  solver = solver_class(model_view, **solver_kwargs)"
admm,8192,timeout,,,,,20312,18935,1.34,,80,40,1200.0,"Warning: CollisionAPI applied to an unknown UsdGeomGPrim type, prim /World/envs/env_0/Cable1/curve_0. [python3.12]"
