rank,name,line,blender_object_name,approximation,distance_to_socket_m,distance_to_inserted_tip_m,bbox_min,bbox_max,center
1,Cable008_Collider103,3523,Cable008_Collider79.125,convexHull,0.0237413893,0.00943867664,"(-0.294422636, 0.310281989, -0.249459891)","(-0.222701136, 0.343261719, -0.198874391)","(-0.258561886, 0.326771854, -0.224167141)"
2,Cable008_Collider151,5107,Cable008_Collider79.125,convexHull,0.0237413893,0.00943867664,"(-0.294422636, 0.310281989, -0.249459891)","(-0.222701136, 0.343261719, -0.198874391)","(-0.258561886, 0.326771854, -0.224167141)"
3,Cable008_Collider52,1840,Cable008_Collider79.125,convexHull,0.0237413893,0.00943867664,"(-0.294422636, 0.310281989, -0.249459891)","(-0.222701136, 0.343261719, -0.198874391)","(-0.258561886, 0.326771854, -0.224167141)"
4,Cable008_Collider202,6791,Cable008_Collider79.064,convexHull,0.0459980309,0.016201122,"(-0.263106227, 0.339730874, -0.220568359)","(-0.26075387, 0.344576374, -0.213773906)","(-0.261930048, 0.342153624, -0.217171132)"
5,Cable008_Collider195,6560,Cable008_Collider79.065,convexHull,0.0459845983,0.0162091578,"(-0.261973918, 0.339296594, -0.220726371)","(-0.260087311, 0.34421514, -0.213905454)","(-0.261030614, 0.341755867, -0.217315912)"
6,Cable008_Collider44,1576,Cable008_Collider79.068,convexHull,0.0460017274,0.016211455,"(-0.257936358, 0.339730844, -0.2205683)","(-0.255583793, 0.344576284, -0.213773847)","(-0.256760076, 0.342153564, -0.217171073)"
7,Cable008_Collider158,5338,Cable008_Collider79.067,convexHull,0.0459865118,0.0162145666,"(-0.258602887, 0.339296654, -0.220726371)","(-0.256716102, 0.34421511, -0.213905454)","(-0.257659495, 0.341755882, -0.217315912)"
8,Cable008_Collider167,5635,Cable008_Collider79.156,convexHull,0.0460629348,0.0162477784,"(-0.264035702, 0.340429828, -0.220313966)","(-0.261344403, 0.34505792, -0.213598669)","(-0.262690052, 0.342743874, -0.216956317)"
9,Cable008_Collider173,5833,Cable008_Collider79.069,convexHull,0.04606817,0.0162623993,"(-0.257345825, 0.340429768, -0.220313907)","(-0.254654378, 0.345057741, -0.213598728)","(-0.256000102, 0.342743754, -0.216956317)"
10,Cable008_Collider12,520,Cable008_Collider79.066,convexHull,0.0460219308,0.0162670986,"(-0.260699958, 0.339150265, -0.220779538)","(-0.259337127, 0.343993381, -0.213986039)","(-0.260018542, 0.341571823, -0.217382788)"
11,Cable008_Collider102,3490,Cable008_Collider79.131,convexHull,0.0460219344,0.0162671466,"(-0.259353012, 0.339150295, -0.220779538)","(-0.257990152, 0.34399344, -0.213986039)","(-0.258671582, 0.341571867, -0.217382788)"
12,Cable008_Collider213,7154,Cable008_Collider79.155,convexHull,0.0461769717,0.0163499039,"(-0.264712393, 0.341355696, -0.219976902)","(-0.26182726, 0.345633641, -0.213389039)","(-0.263269827, 0.343494669, -0.21668297)"
13,Cable008_Collider4,256,Cable008_Collider79.070,convexHull,0.0461833899,0.0163678645,"(-0.256862968, 0.341355756, -0.219976843)","(-0.253977716, 0.345633552, -0.213389099)","(-0.255420342, 0.343494654, -0.216682971)"
14,Cable008_Collider27,1015,Cable008_Collider79.154,convexHull,0.0463342048,0.016502898,"(-0.265099585, 0.34245874, -0.219575465)","(-0.262176096, 0.346272692, -0.213156522)","(-0.263637841, 0.344365716, -0.216365993)"
15,Cable008_Collider227,7616,Cable008_Collider79.073,convexHull,0.0463415081,0.0165232154,"(-0.256513983, 0.34245874, -0.219575405)","(-0.253590465, 0.346272573, -0.213156581)","(-0.255052224, 0.344365656, -0.216365993)"
