name,path,point_count,face_count,physics_approximation,blender_object_name
Cable008_Collider202,/root/Cable008/Collisions/Cable008_Collider202,8,12,convexHull,Cable008_Collider79.064
Cable008_Collider195,/root/Cable008/Collisions/Cable008_Collider195,8,12,convexHull,Cable008_Collider79.065
Cable008_Collider44,/root/Cable008/Collisions/Cable008_Collider44,8,12,convexHull,Cable008_Collider79.068
Cable008_Collider158,/root/Cable008/Collisions/Cable008_Collider158,8,12,convexHull,Cable008_Collider79.067
Cable008_Collider167,/root/Cable008/Collisions/Cable008_Collider167,8,12,convexHull,Cable008_Collider79.156
Cable008_Collider173,/root/Cable008/Collisions/Cable008_Collider173,8,12,convexHull,Cable008_Collider79.069
Cable008_Collider12,/root/Cable008/Collisions/Cable008_Collider12,8,12,convexHull,Cable008_Collider79.066
Cable008_Collider102,/root/Cable008/Collisions/Cable008_Collider102,8,12,convexHull,Cable008_Collider79.131
Cable008_Collider213,/root/Cable008/Collisions/Cable008_Collider213,8,12,convexHull,Cable008_Collider79.155
Cable008_Collider4,/root/Cable008/Collisions/Cable008_Collider4,8,12,convexHull,Cable008_Collider79.070
Cable008_Collider27,/root/Cable008/Collisions/Cable008_Collider27,8,12,convexHull,Cable008_Collider79.154
Cable008_Collider227,/root/Cable008/Collisions/Cable008_Collider227,8,12,convexHull,Cable008_Collider79.073
Cable008_Collider30,/root/Cable008/Collisions/Cable008_Collider30,8,12,convexHull,Cable008_Collider79.146
Cable008_Collider34,/root/Cable008/Collisions/Cable008_Collider34,8,12,convexHull,Cable008_Collider79.151
Cable008_Collider10,/root/Cable008/Collisions/Cable008_Collider10,8,12,convexHull,Cable008_Collider79.086
Cable008_Collider177,/root/Cable008/Collisions/Cable008_Collider177,8,12,convexHull,Cable008_Collider79.081
Cable008_Collider171,/root/Cable008/Collisions/Cable008_Collider171,8,12,convexHull,Cable008_Collider79.139
Cable008_Collider64,/root/Cable008/Collisions/Cable008_Collider64,8,12,convexHull,Cable008_Collider79.090
Cable008_Collider187,/root/Cable008/Collisions/Cable008_Collider187,8,12,convexHull,Cable008_Collider79.153
Cable008_Collider136,/root/Cable008/Collisions/Cable008_Collider136,8,12,convexHull,Cable008_Collider79.152
Cable008_Collider204,/root/Cable008/Collisions/Cable008_Collider204,8,12,convexHull,Cable008_Collider79.071
Cable008_Collider22,/root/Cable008/Collisions/Cable008_Collider22,8,12,convexHull,Cable008_Collider79.077
Cable008_Collider232,/root/Cable008/Collisions/Cable008_Collider232,8,12,convexHull,Cable008_Collider79.103
Cable008_Collider225,/root/Cable008/Collisions/Cable008_Collider225,8,12,convexHull,Cable008_Collider79.094
Cable008_Collider57,/root/Cable008/Collisions/Cable008_Collider57,8,12,convexHull,Cable008_Collider79.110
Cable008_Collider54,/root/Cable008/Collisions/Cable008_Collider54,8,12,convexHull,Cable008_Collider79.098
Cable008_Collider19,/root/Cable008/Collisions/Cable008_Collider19,8,12,convexHull,Cable008_Collider79.063
